horizon_min,model,tau,n,wins,base_wins_selected,full_n,full_model_wins,full_base_wins,n_long,long_wins,n_short,short_wins,win_rate,selected_baseline_win_rate,full_model_win_rate,full_baseline_win_rate,selected_directional_edge,selection_gain_vs_full_baseline,coverage,long_win_rate,short_win_rate
10,Full,0.15,357,188,185,115482,58863,58913,220,118,137,70,0.526610644257703,0.518207282913165,0.509715799864914,0.510148767773333,0.00840336134453779,0.0164618764843705,0.003091390866109,0.536363636363636,0.510948905109489
10,Calendar-only,0.075,499,258,265,92396,46524,46902,298,161,201,97,0.517034068136273,0.531062124248497,0.50352829126802,0.507619377462228,-0.0140280561122245,0.00941469067404466,0.00540066669552795,0.540268456375839,0.482587064676617
15,Calendar-only,0,154820,78744,79844,154820,78744,79844,112334,58051,42486,20693,0.508616457821987,0.515721483012531,0.508616457821987,0.515721483012531,-0.0071050251905439,-0.0071050251905439,1,0.516771413819503,0.487054559148896
15,Calendar-only,0.025,54603,28212,28244,154820,78744,79844,46905,24379,7698,3833,0.51667490797209,0.517260956357709,0.508616457821987,0.515721483012531,-0.00058604838561982,0.000953424959558746,0.352686991344787,0.519752691610703,0.497921538061834
15,Calendar-only,0.05,8867,4650,4649,154820,78744,79844,7882,4157,985,493,0.524416375324236,0.524303597609113,0.508616457821987,0.515721483012531,0.000112777715123413,0.00869489231170517,0.0572729621495931,0.527404212128901,0.500507614213198
15,Calendar-only,0.075,778,408,408,154820,78744,79844,778,408,0,0,0.524421593830334,0.524421593830334,0.508616457821987,0.515721483012531,0,0.00870011081780342,0.00502519054385738,0.524421593830334,
15,Market-state,0,154820,79677,79844,154820,79677,79844,139097,71899,15723,7778,0.51464281100633,0.515721483012531,0.51464281100633,0.515721483012531,-0.00107867200620082,-0.00107867200620082,1,0.516898279617821,0.494689308656109
15,Market-state,0.025,25914,13617,13652,154820,79677,79844,23381,12368,2533,1249,0.525468858532068,0.526819479817859,0.51464281100633,0.515721483012531,-0.00135062128579144,0.00974737551953686,0.167381475261594,0.528976519396091,0.493091196210028
15,Market-state,0.05,3110,1554,1592,154820,79677,79844,2492,1264,618,290,0.49967845659164,0.511897106109325,0.51464281100633,0.515721483012531,-0.0122186495176848,-0.0160430264208908,0.0200878439478104,0.507223113964687,0.469255663430421
15,Market-state,0.075,822,438,438,151089,77810,77980,576,315,246,123,0.532846715328467,0.532846715328467,0.514994473456043,0.516119638094104,0,0.0167270772343637,0.00544050195580089,0.546875,0.5
15,Market-state,0.1,270,138,145,132608,68270,68419,157,85,113,53,0.511111111111111,0.537037037037037,0.514825651544402,0.515949263996139,-0.025925925925926,-0.00483815288502798,0.00203607625482625,0.54140127388535,0.469026548672566
15,Full,0,154820,79393,79844,154820,79393,79844,124523,64470,30297,14923,0.512808422684408,0.515721483012531,0.512808422684408,0.515721483012531,-0.002913060328123,-0.002913060328123,1,0.517735679352409,0.492557018846751
15,Full,0.025,32769,17170,17123,154820,79393,79844,27860,14692,4909,2478,0.52397082608563,0.52253654368458,0.512808422684408,0.515721483012531,0.00143428240104981,0.00824934307309899,0.211658700426301,0.52735104091888,0.504787125687513
15,Full,0.05,4936,2468,2517,154820,79393,79844,3693,1871,1243,597,0.5,0.509927066450567,0.512808422684408,0.515721483012531,-0.00992706645056729,-0.0157214830125307,0.0318821857641132,0.506634172759274,0.480289621882542
15,Full,0.075,1284,648,690,151089,77481,77980,732,393,552,255,0.504672897196262,0.537383177570094,0.512816948950619,0.516119638094104,-0.0327102803738318,-0.0114467408978418,0.00849830232511963,0.536885245901639,0.461956521739131
15,Full,0.1,589,297,302,151089,77481,77980,286,148,303,149,0.504244482173175,0.512733446519525,0.512816948950619,0.516119638094104,-0.00848896434634971,-0.0118751559209286,0.0038983645401055,0.517482517482518,0.491749174917492
15,Full,0.15,147,58,81,78813,40425,40600,32,12,115,46,0.394557823129252,0.551020408163265,0.512922994937384,0.515143440802913,-0.156462585034014,-0.120585617673662,0.00186517452704503,0.375,0.4
15,Market-state,0.15,60,27,30,88960,45584,45659,35,16,25,11,0.45,0.5,0.512410071942446,0.513253147482014,-0.05,-0.0632531474820143,0.000674460431654676,0.457142857142857,0.44
